"county_code","county_name","num_graduating","cohort_count","graduation_rt","percent_male","percent_female","percent_econ_disadvan","percent_hispanic","percent_white","percent_black","percent_asian"
1,"michigan,alcona",56,61,91.8,52,48,100,8.2,93.4,0,8.2
2,"michigan,alger",76,85,89.4,55.7,44.3,34.1,0,84.7,0,0
3,"michigan,allegan",1204,1344,88.8,51.9,48.1,32.7,7.1,89.9,3.3,1.9
4,"michigan,alpena",259,314,80.9,47.8,52.2,41.7,0,97.5,0,1.6
5,"michigan,antrim",227,264,87.9,49.2,50.8,43.6,3.8,94.7,1.9,1.9
6,"michigan,arenac",125,149,83.9,52.2,47.7,55.7,6.7,94.6,0,0
7,"michigan,baraga",85,101,84.2,49.1,50.9,45.5,5,68.3,0,0
8,"michigan,barry",613,704,86.6,54.3,45.7,33.9,2.8,93.7,2.1,1.4
9,"michigan,bay",950,1130,82.7,50.7,49.3,36.8,6.6,86.5,4.5,1.8
10,"michigan,benzie",114,148,78.4,49.6,50.4,49.3,6.8,90.5,3.4,0
11,"michigan,berrien",1606,2053,75.3,50.4,49.6,49.4,5.8,70.7,21.2,2.3
12,"michigan,branch",392,460,84.1,53.2,46.9,50.7,8.3,88.7,3.3,3.3
13,"michigan,calhoun",1218,1394,86.5,49,51,42.8,7.3,73.5,13.1,5.6
14,"michigan,cass",454,503,87.2,49.7,50.3,43.7,8.3,81.5,11.3,3
15,"michigan,charlevoix",280,330,78.2,51.6,48.4,43,6.1,88.2,1.5,0
16,"michigan,cheboygan",224,242,89.3,49.5,50.5,58.7,2.1,88.4,0,2.1
17,"michigan,chippewa",344,407,79.3,49.4,50.5,44,3.7,66.1,4.9,2.5
18,"michigan,clare",321,359,89,51.8,48.2,52.4,2.8,96.1,2.8,1.4
19,"michigan,clinton",749,807,92,52.6,47.4,21.8,4.7,90.5,3.1,3.1
20,"michigan,crawford",120,130,84.6,50.9,49.1,53.8,3.8,96.9,3.8,0
21,"michigan,delta",351,377,90.4,51.6,48.4,37.4,5.3,89.9,1.3,1.3
22,"michigan,dickinson",307,352,86.4,51.9,48.1,34.4,5.7,95.5,2.8,1.4
23,"michigan,eaton",1245,1481,83.3,50.4,49.6,34,6.8,80.9,8.7,3.9
24,"michigan,emmet",370,393,94.1,50.6,49.3,30.8,7.6,85.5,3.8,1.3
25,"michigan,genesee",4113,4986,82,50.9,49.1,46.4,4.1,69.2,23.7,2
26,"michigan,gladwin",201,229,86.4,53.4,46.6,48.9,2.2,94.3,4.4,2.2
27,"michigan,gogebic",130,151,87.4,59.1,41,51,3.3,91.4,6.6,0
28,"michigan,grand traverse",795,951,82,53.7,46.3,32.1,4.1,91.6,2.1,2.7
29,"michigan,gratiot",470,524,88,51.9,48.1,39.3,9.9,90.5,1.9,3.8
30,"michigan,hillsdale",391,471,80.5,46.2,53.7,45,5.3,95.8,2.1,3.2
31,"michigan,houghton",365,424,84.4,47.1,52.9,38,4.7,95.8,0,1.2
32,"michigan,huron",353,395,88.9,54.8,45.2,46.1,5.1,94.4,6.3,3.8
33,"michigan,ingham",2528,3076,81,48.6,51.4,36.9,8.7,65.4,18.2,5.9
34,"michigan,ionia",514,622,81.8,51.2,48.8,39.2,7.4,91.6,2.4,0.8
35,"michigan,iosco",229,300,76,53.2,46.8,59.3,5,93.7,5,1.7
36,"michigan,iron",81,83,97.6,53.1,46.9,45.8,6,98.8,0,0
37,"michigan,isabella",404,472,83.3,51.6,48.4,31.6,5.3,85.2,1.1,2.1
38,"michigan,jackson",1455,1740,82.6,50.7,49.3,42.9,4.6,83.7,10.9,1.4
39,"michigan,kalamazoo",1989,2416,81.3,49,51,39.6,7.5,69,17.1,3.9
40,"michigan,kalkaska",110,153,69.3,48.2,51.8,64.7,3.3,93.5,0,3.3
41,"michigan,kent",5978,7202,82.4,49.7,50.3,39.6,13.5,66.9,12.6,4.2
42,"michigan,keweenaw",1186.1,1386.4,84.4,51.1,48.9,44.2,6.2,85.8,6.3,2.1
43,"michigan,lake",29,40,60,64,36,85,12.5,62.5,45,0
44,"michigan,lapeer",940,1066,87.5,52.7,47.3,35.3,5,93.1,1.4,0.9
45,"michigan,leelanau",147,201,70.1,52.8,47.1,34.8,12.4,83.1,7.5,5
46,"michigan,lenawee",1092,1219,87.5,49,51,34.4,10.7,84.8,4.3,2.1
47,"michigan,livingston",2118,2352,89.8,50.6,49.4,19.8,3,94.8,1.5,2
48,"michigan,luce",54,60,90,52,48,35,8.3,95,0,0
49,"michigan,mackinac",76,85,83.5,49.4,50.5,49.4,0,51.8,0,0
50,"michigan,macomb",9058,10462,86,51.4,48.6,38.1,2.5,74.7,17.4,4
51,"michigan,manistee",222,315,69.2,43.6,56.4,47.9,7.9,84.4,8.6,3.2
52,"michigan,marquette",571,651,87.6,50.9,49.2,28.1,3.8,91.9,3.1,2.3
53,"michigan,mason",269,315,82.8,50.3,49.8,49.2,12.1,85.1,9.5,1.6
54,"michigan,mecosta",360,433,82.9,47.9,52.1,53.1,5.8,87.5,3.5,2.3
55,"michigan,menominee",213,230,88,53.4,46.6,38.3,6.5,97.8,0,2.2
56,"michigan,midland",858,961,88.8,52.5,47.5,28.7,3.6,91.8,3.1,4.1
57,"michigan,missaukee",116,128,90.6,45.1,54.9,46.1,7.8,93.8,3.9,0
58,"michigan,monroe",1718,1943,87.4,52.2,47.6,31.7,4,90,7,1.8
59,"michigan,montcalm",779,837,91.6,48.9,51.1,40,4.9,93.9,1.8,3
60,"michigan,montmorency",46,54,85.2,67.4,32.9,53.7,18.5,94.4,0,0
61,"michigan,muskegon",1677,2009,81.6,48.3,51.7,49.8,6.4,75.6,17.1,1.5
62,"michigan,newaygo",514,589,86.4,53.1,46.9,50.8,9.5,89.6,3.4,1.7
63,"michigan,oakland",13222,14840,88.8,51,48.9,29.4,4.2,64.4,23,7.2
64,"michigan,oceana",200,226,88.5,55.8,44.1,62.4,32.7,63.7,0,2.2
65,"michigan,ogemaw",149,167,87.6,52.9,47.1,53.9,3,97,0,0
66,"michigan,ontonagon",52,53,88.7,54,46.3,47.2,0,94.3,9.4,0
67,"michigan,osceola",276,326,80.1,54.6,45.3,56.1,4.6,93.6,7.7,3.1
68,"michigan,oscoda",69,78,88.5,54,46,53.8,0,96.2,6.4,0
69,"michigan,otsego",263,298,85.3,47.9,52.1,38.9,1.7,95,1.7,0
70,"michigan,ottawa",2975,3279,90.1,50.4,49.6,28.7,14.3,76.5,3.3,4.8
71,"michigan,presque isle",116,129,89.1,39,60.8,48.1,3.9,96.1,3.9,0
72,"michigan,roscommon",161,217,70,51.6,48.4,56.2,6.9,94.5,2.3,2.3
73,"michigan,saginaw",1831,2206,80.2,50,50,42.4,11.5,61.4,25.4,2.8
74,"michigan,st. clair",1538,1894,80.4,51.9,48.1,35,3.7,89.5,6.8,1.3
75,"michigan,st. joseph",661,758,85.4,52,48,50.7,10.4,83.6,5.5,1.3
76,"michigan,sanilac",449,522,84.6,47.4,52.6,45,6.7,93.9,2.9,3.8
77,"michigan,schoolcraft",55,58,91.4,43.6,56.4,48.3,0,84.5,0,0
78,"michigan,shiawassee",856,958,88.8,51.3,48.7,42.5,3.1,96.5,0.5,1
79,"michigan,tuscola",591,746,78.2,50.2,49.8,50.3,6,89.7,6.2,2
80,"michigan,van buren",978,1158,82.1,51.8,48.2,47,14.3,78.6,6.2,2.2
81,"michigan,washtenaw",3110,3513,89.3,50.7,49.3,24.3,3.8,68.4,18.9,7.8
82,"michigan,wayne",16768,20164,82.5,49.9,50.1,52,6.5,49.4,40.5,3.5
83,"michigan,wexford",287,360,78.3,49.7,50.3,45.6,4.2,94.7,0,2.8
